2.2,-4,-40
2.2,-3,-30
2.2,-2,-20
2.2,-1,-10
2.2,0.4,10
2.2,0.8,20
2.2,1.4,30
2.2,1.8,40
2.2,2.2,50
2.2,2.8,60
2.2,3.2,70
2.2,3.8,80
2.4,-5.8,-60
2.4,-4.8,-50
2.4,-4,-40
2.4,-3,-30
2.4,-2,-20
2.4,-1,-10
2.4,0.4,10
2.4,0.8,20
2.4,1.4,30
2.4,1.8,40
2.4,2.2,50
2.4,2.8,60
2.4,3.2,70
2.4,3.8,80
2.6,-5.8,-60
2.6,-4.8,-50
2.6,-4,-40
2.6,-3,-30
2.6,-2,-20
2.6,-1,-10
2.6,0.4,10
2.6,0.8,20
2.6,1.4,30
2.6,1.8,40
2.6,2.2,50
2.6,2.8,60
2.6,3.2,70
2.6,3.8,80
2.8,-5.8,-60
2.8,-4.8,-50
2.8,-4,-40
2.8,-3,-30
2.8,-2,-20
2.8,-1,-10
2.8,0.4,10
2.8,0.8,20
2.8,1.4,30
2.8,1.8,40
2.8,2.2,50
2.8,2.8,60
2.8,3.2,70
2.8,3.8,80
3,-5.8,-60
3,-4.8,-50
3,-4,-40
3,-3,-30
3,-2,-20
3,-1,-10
3,0.4,10
3,0.8,20
3,1.4,30
3,1.8,40
3,2.2,50
3,2.8,60
3,3.2,70
3,3.8,80
3.2,-5.8,-60
3.2,-4.8,-50
3.2,-4,-40
3.2,-3,-30
3.2,-2,-20
3.2,-1,-10
3.2,0.4,10
3.2,0.8,20
3.2,1.4,30
3.2,1.8,40
3.2,2.2,50
3.2,2.8,60
3.2,3.2,70
3.2,3.8,80
3.4,-5.8,-60
3.4,-4.8,-50
3.4,-4,-40
3.4,-3,-30
3.4,-2,-20
3.4,-1,-10
3.4,0.4,10
3.4,0.8,20
3.4,1.4,30
3.4,1.8,40
3.4,2.2,50
3.4,2.8,60
3.4,3.2,70
3.4,3.8,80
3.6,-5.8,-60
3.6,-4.8,-50
3.6,-4,-40
3.6,-3,-30
3.6,-2,-20
3.6,-1,-10
3.6,0.4,10
3.6,0.8,20
3.6,1.4,30
3.6,1.8,40
3.6,2.2,50
3.6,2.8,60
3.6,3.2,70
3.6,3.8,80
3.8,-5.8,-60
3.8,-4.8,-50
3.8,-4,-40
3.8,-3,-30
3.8,-2,-20
3.8,-1,-10
3.8,0.4,10
3.8,0.8,20
3.8,1.4,30
3.8,1.8,40
3.8,2.2,50
3.8,2.8,60
3.8,3.2,70
3.8,3.8,80
4,-5.8,-60
4,-4.8,-50
4,-4,-40
4,-3,-30
4,-2,-20
4,-1,-10
4,0.4,10
4,0.8,20
4,1.4,30
4,1.8,40
4,2.2,50
4,2.8,60
4,3.2,70
4,3.8,80
4.2,-5.8,-60
4.2,-4.8,-50
4.2,-4,-40
4.2,-3,-30
4.2,-2,-20
4.2,-1,-10
4.2,0.4,10
4.2,0.8,20
4.2,1.4,30
4.2,1.8,40
4.2,2.2,50
4.2,2.8,60
4.2,3.2,70
4.2,3.8,80
4.4,-5.8,-60
4.4,-4.8,-50
4.4,-4,-40
4.4,-3,-30
4.4,-2,-20
4.4,-1,-10
4.4,0.4,10
4.4,0.8,20
4.4,1.4,30
4.4,1.8,40
4.4,2.2,50
4.4,2.8,60
4.4,3.2,70
4.4,3.8,80
4.6,-5.8,-60
4.6,-4.8,-50
