way_point.x,way_point.y,way_point.v,way_point.a
457176.869,4399697.974,9.286909356,1.782312566
457177.359,4399697.939,9.382379421,1.835604076
457177.849,4399697.901,9.479699007,1.888348617
457178.338,4399697.86,9.578783187,1.94054768
457178.827,4399697.817,9.679549593,1.992203447
457179.316,4399697.772,9.781918463,2.04331873
457179.805,4399697.724,9.885812678,2.093896912
457180.294,4399697.674,9.991157774,2.14394189
457180.782,4399697.621,10.09788194,2.193458021
457181.27,4399697.566,10.205916,2.24245007
457181.757,4399697.509,10.31519339,2.290923168
457182.245,4399697.449,10.42565013,2.338882764
457182.732,4399697.386,10.53722476,2.386334584
457183.219,4399697.321,10.64985831,2.433284595
457183.705,4399697.254,10.76349423,2.47973897
457184.191,4399697.184,10.87807831,2.525704053
457184.677,4399697.112,10.99355866,2.571186332
457185.162,4399697.037,11.1098856,2.616192413
457185.647,4399696.96,11.22701161,2.66072899
457186.132,4399696.881,11.34489124,2.704802827
457186.616,4399696.799,11.46348106,2.748420736
457187.1,4399696.715,11.58273958,2.791589559
457187.583,4399696.628,11.70262716,2.834316151
457188.066,4399696.539,11.82310598,2.876607362
457188.549,4399696.447,11.9441399,2.91847003
457189.031,4399696.353,12.06569448,2.959910961
457189.512,4399696.257,12.18773682,2.971620728
457189.993,4399696.158,12.30904221,2.93194731
457190.474,4399696.057,12.42756754,2.891711514
457190.954,4399695.953,12.54336939,2.851847314
457191.433,4399695.847,12.65653717,2.812339681
457191.912,4399695.739,12.76715491,2.773174467
457192.391,4399695.628,12.87530161,2.734338327
457192.869,4399695.515,12.98105171,2.695818663
457193.346,4399695.399,13.08447541,2.657603559
457193.822,4399695.281,13.185639,2.619681735
457194.299,4399695.161,13.28460515,2.582042493
457194.774,4399695.038,13.38143317,2.54467568
457195.249,4399694.913,13.47617927,2.507571647
457195.723,4399694.786,13.56889672,2.47072121
457196.197,4399694.656,13.65963612,2.434115625
457196.67,4399694.524,13.74844554,2.397746551
457197.142,4399694.389,13.8353707,2.361606029
457197.614,4399694.252,13.92045509,2.325686451
457198.085,4399694.113,14.00374017,2.289980544
457198.555,4399693.972,14.08526542,2.254481344
457199.024,4399693.828,14.16506854,2.219182178
457199.493,4399693.681,14.24318548,2.184076649
457199.961,4399693.533,14.31965061,2.149158613
457200.428,4399693.382,14.39449677,2.114422171
457200.895,4399693.228,14.46775534,2.07986165
457201.361,4399693.073,14.53945639,2.045471594
457201.826,4399692.915,14.60962867,2.011246745
457202.29,4399692.754,14.67829974,1.977182041
457202.753,4399692.592,14.74549601,1.943272596
457203.216,4399692.427,14.81124278,1.909513698
457203.677,4399692.259,14.87556433,1.875900795
457204.138,4399692.09,14.93848396,1.842429488
457204.598,4399691.918,15.00002404,1.809095522
457205.057,4399691.744,15.06020603,1.775894781
457205.516,4399691.567,15.11905055,1.742823277
457205.973,4399691.389,15.17657743,1.709877149
457206.429,4399691.208,15.2328057,1.677052649
457206.885,4399691.024,15.28775367,1.644346145
457207.34,4399690.839,15.34143894,1.611754107
457207.793,4399690.651,15.39387845,1.579273108
457208.246,4399690.461,15.44508847,1.546899817
457208.698,4399690.268,15.49508467,1.514630994
457209.149,4399690.074,15.54388212,1.482463487
457209.599,4399689.877,15.59149534,1.450394223
457210.048,4399689.677,15.63793826,1.418420213
457210.495,4399689.476,15.68322434,1.38653854
457210.942,4399689.272,15.72736649,1.354746359
457211.388,4399689.067,15.77037716,1.323040895
457211.833,4399688.859,15.81226833,1.291419437
457212.277,4399688.648,15.85305152,1.259879337
457212.719,4399688.436,15.89273781,1.228418004
457213.161,4399688.221,15.93133788,1.197032908
457213.602,4399688.004,15.968862,1.165721568
457214.041,4399687.785,16.00532003,1.134481559
457214.479,4399687.563,16.04072146,1.103310503
457214.917,4399687.34,16.07507543,1.072206069
457215.353,4399687.114,16.10839069,1.041165971
457215.788,4399686.886,16.14067568,1.010187967
457216.222,4399686.656,16.17193849,0.979269853
457216.654,4399686.424,16.20218687,0.948409467
457217.086,4399686.19,16.23142829,0.917604682
457217.516,4399685.953,16.25966988,0.886853408
457217.945,4399685.714,16.28691848,0.856153586
457218.373,4399685.474,16.31318066,0.825503191
